New Name,Old Name
INMARSAT-6-58E,INMARSAT-6-63E
INMARSAT-6-86E,INMARSAT-6-92E
INMARSAT-KA 107W,INMARSAT-KA 105W
INMARSAT-KA 148E,INMARSAT-KA 142.5E
INMARSAT-KA 151E,INMARSAT-KA 149E
INMARSAT-KA 171E,INMARSAT-KA 169E
INMARSAT-KA 180E,INMARSAT-KA 179W
INMARSAT-KA 23E,INMARSAT-KA 25E
INMARSAT-KA 35E,INMARSAT-KA 34E
INMARSAT-KA 56.5E,INMARSAT-KA 53E
INMARSAT-KA 56W,INMARSAT-KA 54W
INMARSAT-KA 63E,INMARSAT-KA 62E
INMARSAT-KA 63W,INMARSAT-KA 66W
INMARSAT-KA 67E,INMARSAT-KA 69E
INMARSAT-KA 68.5E,INMARSAT-KA 65E
INMARSAT-KA 69E,INMARSAT-KA 67E
INMARSAT-KA 72E,INMARSAT-KA 77E
INMARSAT-KA 76.5E,INMARSAT-KA 79E
INMARSAT-KA 83.5E,INMARSAT-KA 86E
INMARSAT-KA 86E,INMARSAT-KA 83.5E
INMARSAT-KA 87.5E,INMARSAT-KA 85E
INMARSAT-KA 93E,INMARSAT-KA 91E
INMARSAT-KA 97W,INMARSAT-KA 98W
INMARSAT-LEO 1A,INMARSAT-4 LEO-1
INMARSAT-LEO 1B,INMARSAT-4 LEO-1
INMARSAT-LEO 1C,INMARSAT-4 LEO-1
INMARSAT-LEO 2A,INMARSAT-4 LEO-2
INMARSAT-LEO 2B,INMARSAT-4 LEO-2
INMARSAT-LEO 2C,INMARSAT-4 LEO-2
INNOSAT,TIUNGSAT-1
INSAT-2(74),INSAT-2C
INSAT-2(83),INSAT-2A
INSAT-2(93.5),INSAT-2B
INSAT-2E74,INSAT-2E (74)
INSAT-2E82,INSAT-2E (82)
INSAT-2E83,INSAT-2E (83)
INSAT-2E93.5,INSAT-2E (93.5)
INSAT-2K (74),INSAT-2KC
INSAT-2K (83),INSAT-2KA
INSAT-2K (93.5),INSAT-2KB
INSAT-C/KU(86),GSAT-7(86)
INSAT-KA101E,INSAT-KA(101E)
INSAT-KA104.5E,INSAT-KA104.3E
INSAT-KA111.5E,INSAT-KA(111.5E)
INSAT-KA114E,INSAT-KA(114E)
INSAT-KA117.5E,INSAT-KA(117.5E)
INSAT-KA41.8E,INSAT-KA(41.8E)
INSAT-KA44.8E,INSAT-KA(44.8E)
INSAT-KA51.2E,INSAT-KA(51.2E)
INSAT-KA64.3E,INSAT-KA(64.3E)
INSAT-KA68E,INSAT-KA66E
INSAT-KA74E,INSAT-KA(74)
INSAT-KA77.1E,INSAT-KA(77.1E)
INSAT-KA82.5E,INSAT-KA(82.5E)
INSAT-KA85.5E,INSAT-KA(85.5E)
INSAT-KA89E,INSAT-KA(89E)
INSAT-KA93.5E,INSAT-KA(93.5E)
INSAT-KA97.3E,INSAT-KA(97.3E)
INTELSAT IBS 304.5E,INTELSAT IBS 304E
INTELSAT IBS 304.5E,INTELSAT IBS 310E
INTELSAT IBS 342E,INTELSAT IBS 341.5E
INTELSAT KA 145E,INTELSAT8 304E
INTELSAT MCS 64.9E,INTELSAT MCS INDOC D
INTELSAT10 310E,NI-ALPHA 310E
INTELSAT10 359E,NI-ALPHA 359E
INTELSAT5 183E,INTELSAT5 PAC1
INTELSAT5 33E,INTELSAT5 CONT2
INTELSAT5 69E,INTELSAT5 INDOC3
INTELSAT5 72E,INTELSAT5 69E
INTELSAT5 PAC2,INTELSAT5 85E
INTELSAT5A 157E,INTELSAT5A INDOC1
INTELSAT5A 180E,INTELSAT5A PAC2
INTELSAT5A 304.5E,INTELSAT5A 304E
INTELSAT5A 330.5E,INTELSAT5A INDOC3
INTELSAT5A 342E,INTELSAT5A ATL4
INTELSAT6 335.5E,INTELSAT6 ATL1
INTELSAT7 307E_1,INTELSAT7 307E
INTELSAT7 328.5E,INTELSAT7 329E
INTELSAT8 174E,INTELSAT FOS 174E
INTELSAT8 177E,INTELSAT FOS 177E
INTELSAT8 180E,INTELSAT FOS 180E
