Network Name,Longitude,ITU Administration,Previous Name,Planned or Non-Planned,Highest Maturity,Brought-into-Use Date,Late-Stage Filing Date,Early-Stage Filing Date,Suspensions,Link
INSAT-KA51.2E,51.2,IND ,INSAT-KA(51.2E),Non-Planned,C,n/a,n/a,2016-06-03,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=INSAT-KA51.2E&sel_satname=INSAT-KA51.2E&plan_id=
USOBO-12C,51.5,USA ,n/a,Non-Planned,C,n/a,n/a,2022-12-05,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-12C&sel_satname=USOBO-12C&plan_id=
CHINASAT-51.5E,51.5,CHN ,n/a,Non-Planned,N,2010-09-06,2005-12-21,2001-06-22,"[['T', '2014-08-08', '2016-01-23']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CHINASAT-51.5E&sel_satname=CHINASAT-51.5E&plan_id=
CHINASAT-ROUTE1,51.5,CHN ,n/a,Non-Planned,N,2013-01-15,2013-04-18,2007-02-26,"[['P', '2014-08-08', '2016-01-23'], ['P', '2013-04-19', '2016-01-23']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CHINASAT-ROUTE1&sel_satname=CHINASAT-ROUTE1&plan_id=
CHINASAT-CL2,51.5,CHN ,n/a,Non-Planned,N,2016-01-23,2017-07-28,2010-08-02,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=CHINASAT-CL2&sel_satname=CHINASAT-CL2&plan_id=
USOBO-12B,51.5,USA ,n/a,Non-Planned,C,n/a,n/a,2018-05-10,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=USOBO-12B&sel_satname=USOBO-12B&plan_id=
TIBASAT-51.5E,51.5,EGY ,n/a,Non-Planned,C,n/a,n/a,2021-01-08,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=TIBASAT-51.5E&sel_satname=TIBASAT-51.5E&plan_id=
BLR-FSS2-51.5E,51.5,BLR ,n/a,Planned,N,2016-05-27,2022-09-09,2014-11-24,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=BLR-FSS2-51.5E&sel_satname=BLR-FSS2-51.5E&plan_id=plan
BLR-FSS-51.5E,51.5,BLR ,n/a,Planned,N,2016-05-27,2018-02-08,2010-11-24,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=BLR-FSS-51.5E&sel_satname=BLR-FSS-51.5E&plan_id=plan
ARS00000,51.9,ARS ,n/a,Planned,P/Plan/List,n/a,n/a,n/a,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=ARS00000&sel_satname=ARS00000&plan_id=plan
MCO-FSS-52E,52.0,MCO ,n/a,Planned,N,2013-06-05,2013-06-05,2005-06-08,"[['T', '2014-02-07', '2015-07-01']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MCO-FSS-52E&sel_satname=MCO-FSS-52E&plan_id=plan
MCO00000,52.0,MCO ,n/a,Planned,P/Plan/List,n/a,n/a,2011-11-01,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MCO00000&sel_satname=MCO00000&plan_id=plan
MONASAT-52EA,52.0,MCO ,n/a,Non-Planned,N,2022-11-20,2022-11-22,2015-11-27,"[['T', '2023-02-19', 'n/a']]",https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MONASAT-52EA&sel_satname=MONASAT-52EA&plan_id=
MONASAT-52EC,52.0,MCO ,n/a,Non-Planned,C,n/a,n/a,2019-10-16,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MONASAT-52EC&sel_satname=MONASAT-52EC&plan_id=
MONASAT-52EB,52.0,MCO ,n/a,Non-Planned,C,n/a,n/a,2017-04-28,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=C&sat_name=MONASAT-52EB&sel_satname=MONASAT-52EB&plan_id=
MCO-FSS-52EB,52.0,MCO ,n/a,Planned,P,n/a,n/a,2018-03-30,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=P&sat_name=MCO-FSS-52EB&sel_satname=MCO-FSS-52EB&plan_id=plan
MCO-FSS-52EA,52.0,MCO ,n/a,Planned,N,2015-06-01,2018-11-15,2010-12-20,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MCO-FSS-52EA&sel_satname=MCO-FSS-52EA&plan_id=plan
MCO-FSS-52EAP,52.0,MCO ,n/a,Planned,N,2015-06-01,2020-08-18,2012-08-24,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MCO-FSS-52EAP&sel_satname=MCO-FSS-52EAP&plan_id=plan
MCO-FSS-52EA TTC,52.0,MCO ,n/a,Planned,N,2015-06-01,2022-01-26,2014-01-29,n/a,https://www.itu.int/net/ITU-R/space/snl/bresult/radvance.asp?sat_type=N&sat_name=MCO-FSS-52EA+TTC&sel_satname=MCO-FSS-52EA+TTC&plan_id=plan
